,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool
47,c.br.o.g_fm_211213.csv,5,12/13/21 22:40:52,drink_2,0.021,2021-12-13 22:40:52.000000000,1639435252.0,2021-12-13,13,22:40:52,22,40,52,dark_pm,VDM_blueras,17.731,041AC00EFA,blue_ras,2021-12-13 22:40:51.241036800,2021-12-13 22:41:08.972036800,dark,2.0,0.0,same
48,c.br.o.g_fm_211213.csv,5,12/13/21 22:40:54,drink_2,0.042,2021-12-13 22:40:54.000000000,1639435254.0,2021-12-13,13,22:40:54,22,40,54,dark_pm,VDM_blueras,17.731,041AC00EFA,blue_ras,2021-12-13 22:40:51.241036800,2021-12-13 22:41:08.972036800,dark,2.0,0.0,same
49,c.br.o.g_fm_211213.csv,3,12/13/21 22:42:14,drink_2,0.025,2021-12-13 22:42:14.000000000,1639435334.0,2021-12-13,13,22:42:14,22,42,14,dark_pm,VDM_blueras,33.374,041ABFE8D4,blue_ras,2021-12-13 22:42:03.709987200,2021-12-13 22:42:37.083987200,dark,2.0,0.0,same
50,c.br.o.g_fm_211213.csv,3,12/13/21 22:42:15,drink_2,0.025,2021-12-13 22:42:15.000000000,1639435335.0,2021-12-13,13,22:42:15,22,42,15,dark_pm,VDM_blueras,33.374,041ABFE8D4,blue_ras,2021-12-13 22:42:03.709987200,2021-12-13 22:42:37.083987200,dark,2.0,0.0,same
51,c.br.o.g_fm_211213.csv,3,12/13/21 22:42:39,drink_2,0.025,2021-12-13 22:42:39.000000000,1639435359.0,2021-12-13,13,22:42:39,22,42,39,dark_pm,VDM_blueras,0.468,041ABFE8D4,blue_ras,2021-12-13 22:42:38.499033600,2021-12-13 22:42:38.967033600,dark,2.0,0.032966,diff
52,c.br.o.g_fm_211213.csv,3,12/13/21 22:46:35,drink_2,0.025,2021-12-13 22:46:35.000000000,1639435595.0,2021-12-13,13,22:46:35,22,46,35,dark_pm,VDM_blueras,7.831,041ABFE8D4,blue_ras,2021-12-13 22:46:29.391024000,2021-12-13 22:46:37.222024000,dark,2.0,0.0,same
53,c.br.o.g_fm_211213.csv,3,12/13/21 22:46:38,drink_2,0.025,2021-12-13 22:46:38.000000000,1639435598.0,2021-12-13,13,22:46:38,22,46,38,dark_pm,VDM_blueras,7.831,041ABFE8D4,blue_ras,2021-12-13 22:46:29.391024000,2021-12-13 22:46:37.222024000,dark,2.0,0.777976,diff
54,c.br.o.g_fm_211213.csv,6,12/13/21 22:47:16,drink_2,0.021,2021-12-13 22:47:16.000000000,1639435636.0,2021-12-13,13,22:47:16,22,47,16,dark_pm,VDM_blueras,2.416,041AC006F3,blue_ras,2021-12-13 22:47:11.011977600,2021-12-13 22:47:13.427977600,dark,2.0,2.572022,diff
55,c.br.o.g_fm_211213.csv,6,12/13/21 23:05:09,drink_2,0.021,2021-12-13 23:05:09.000000000,1639436709.0,2021-12-13,13,23:05:09,23,5,9,dark_pm,VDM_blueras,3.302,041AC006F3,blue_ras,2021-12-13 23:05:05.681011200,2021-12-13 23:05:08.983011200,dark,2.0,0.016988,diff
56,c.br.o.g_fm_211213.csv,6,12/13/21 23:05:12,drink_2,0.021,2021-12-13 23:05:12.000000000,1639436712.0,2021-12-13,13,23:05:12,23,5,12,dark_pm,VDM_blueras,3.302,041AC006F3,blue_ras,2021-12-13 23:05:05.681011200,2021-12-13 23:05:08.983011200,dark,2.0,3.016988,diff
57,c.br.o.g_fm_211213.csv,6,12/13/21 23:05:14,drink_2,0.021,2021-12-13 23:05:14.000000000,1639436714.0,2021-12-13,13,23:05:14,23,5,14,dark_pm,VDM_blueras,3.302,041AC006F3,blue_ras,2021-12-13 23:05:05.681011200,2021-12-13 23:05:08.983011200,dark,2.0,5.016988,diff
58,c.br.o.g_fm_211213.csv,5,12/13/21 23:07:40,drink_2,0.021,2021-12-13 23:07:40.000000000,1639436860.0,2021-12-13,13,23:07:40,23,7,40,dark_pm,VDM_blueras,16.333,041AC00EFA,blue_ras,2021-12-13 23:07:24.647980800,2021-12-13 23:07:40.980980800,dark,2.0,0.0,same
59,c.br.o.g_fm_211213.csv,5,12/13/21 23:07:42,drink_2,0.021,2021-12-13 23:07:42.000000000,1639436862.0,2021-12-13,13,23:07:42,23,7,42,dark_pm,VDM_blueras,16.333,041AC00EFA,blue_ras,2021-12-13 23:07:24.647980800,2021-12-13 23:07:40.980980800,dark,2.0,1.019019,diff
60,c.br.o.g_fm_211213.csv,5,12/13/21 23:07:44,drink_2,0.042,2021-12-13 23:07:44.000000000,1639436864.0,2021-12-13,13,23:07:44,23,7,44,dark_pm,VDM_blueras,16.333,041AC00EFA,blue_ras,2021-12-13 23:07:24.647980800,2021-12-13 23:07:40.980980800,dark,2.0,3.019019,diff
61,c.br.o.g_fm_211213.csv,6,12/13/21 23:08:39,drink_2,0.021,2021-12-13 23:08:39.000000000,1639436919.0,2021-12-13,13,23:08:39,23,8,39,dark_pm,VDM_blueras,19.286,041AC028F2,blue_ras,2021-12-13 23:08:28.900032000,2021-12-13 23:08:48.186032000,dark,2.0,0.0,same
62,c.br.o.g_fm_211213.csv,6,12/13/21 23:08:41,drink_2,0.021,2021-12-13 23:08:41.000000000,1639436921.0,2021-12-13,13,23:08:41,23,8,41,dark_pm,VDM_blueras,19.286,041AC028F2,blue_ras,2021-12-13 23:08:28.900032000,2021-12-13 23:08:48.186032000,dark,2.0,0.0,same
63,c.br.o.g_fm_211213.csv,6,12/13/21 23:08:44,drink_2,0.042,2021-12-13 23:08:44.000000000,1639436924.0,2021-12-13,13,23:08:44,23,8,44,dark_pm,VDM_blueras,19.286,041AC028F2,blue_ras,2021-12-13 23:08:28.900032000,2021-12-13 23:08:48.186032000,dark,2.0,0.0,same
64,c.br.o.g_fm_211213.csv,3,12/13/21 23:16:05,drink_2,0.025,2021-12-13 23:16:05.000000000,1639437365.0,2021-12-13,13,23:16:05,23,16,5,dark_pm,VDM_blueras,17.802,041ABFE8D4,blue_ras,2021-12-13 23:15:59.429030400,2021-12-13 23:16:17.231030400,dark,2.0,0.0,same
65,c.br.o.g_fm_211213.csv,6,12/13/21 23:18:23,drink_2,0.042,2021-12-13 23:18:23.000000000,1639437503.0,2021-12-13,13,23:18:23,23,18,23,dark_pm,VDM_blueras,2.265,041AC006F3,blue_ras,2021-12-13 23:18:19.106035200,2021-12-13 23:18:21.371035200,dark,2.0,1.628964,diff
66,c.br.o.g_fm_211213.csv,6,12/13/21 23:18:25,drink_2,0.021,2021-12-13 23:18:25.000000000,1639437505.0,2021-12-13,13,23:18:25,23,18,25,dark_pm,VDM_blueras,0.075,041AC006F3,blue_ras,2021-12-13 23:18:23.264035200,2021-12-13 23:18:23.339035200,dark,2.0,1.660964,diff
67,c.br.o.g_fm_211213.csv,6,12/13/21 23:18:28,drink_2,0.021,2021-12-13 23:18:28.000000000,1639437508.0,2021-12-13,13,23:18:28,23,18,28,dark_pm,VDM_blueras,15.491999999999999,041AC006F3,blue_ras,2021-12-13 23:18:25.902000000,2021-12-13 23:18:41.394000000,dark,2.0,0.0,same
68,c.br.o.g_fm_211213.csv,6,12/13/21 23:18:30,drink_2,0.021,2021-12-13 23:18:30.000000000,1639437510.0,2021-12-13,13,23:18:30,23,18,30,dark_pm,VDM_blueras,15.491999999999999,041AC006F3,blue_ras,2021-12-13 23:18:25.902000000,2021-12-13 23:18:41.394000000,dark,2.0,0.0,same
69,c.br.o.g_fm_211213.csv,6,12/13/21 23:19:26,drink_2,0.021,2021-12-13 23:19:26.000000000,1639437566.0,2021-12-13,13,23:19:26,23,19,26,dark_pm,VDM_blueras,0.45,041AC033A1,blue_ras,2021-12-13 23:19:24.584966400,2021-12-13 23:19:25.034966400,dark,2.0,0.965033,diff
70,c.br.o.g_fm_211213.csv,6,12/13/21 23:19:27,drink_2,0.021,2021-12-13 23:19:27.000000000,1639437567.0,2021-12-13,13,23:19:27,23,19,27,dark_pm,VDM_blueras,6.333,041AC033A1,blue_ras,2021-12-13 23:19:26.303980800,2021-12-13 23:19:32.636980800,dark,2.0,0.0,same
71,c.br.o.g_fm_211213.csv,5,12/13/21 23:21:44,drink_2,0.042,2021-12-13 23:21:44.000000000,1639437704.0,2021-12-13,13,23:21:44,23,21,44,dark_pm,VDM_blueras,9.842,041AC00EFA,blue_ras,2021-12-13 23:21:36.403977600,2021-12-13 23:21:46.245977600,dark,2.0,0.0,same
